group,experiment,condition,item,stimulus,target,contains_target,sentence,question,answer_F,answer_J,correct
B,sc,NoClash.Shift,12,SC_NoClash_Shift_12.wav,SENSE,Y,"Hearing the barking dog, the native sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,J
A,sc,Clash.NoShift,13,SC_Clash_NoShift_13.wav,NOTES,Y,"As the salespeople left the room, the compact notes from the boring meeting were thrown in the trash can.",,,,
B,sc,Clash.Shift,13,SC_Clash_Shift_13.wav,NOTES,Y,"As the salespeople left the room, the compact notes from the boring meeting were thrown in the trash can.",,,,
C,sc,NoClash.NoShift,13,SC_NoClash_NoShift_13.wav,NOTES,Y,"As the salespeople left the room, the bundled notes from the boring meeting were thrown in the trash can.",,,,
D,sc,NoClash.Shift,13,SC_NoClash_Shift_13.wav,NOTES,Y,"As the salespeople left the room, the bundled notes from the boring meeting were thrown in the trash can.",,,,
B,sc,Clash.NoShift,14,SC_Clash_NoShift_14.wav,DREAM,Y,"Although much money was paid, the unreal dream to run a dog-daycare was never realized.",,,,
C,sc,Clash.Shift,14,SC_Clash_Shift_14.wav,DREAM,Y,"Although much money was paid, the unreal dream to run a dog-daycare was never realized.",,,,
A,sc,NoClash.NoShift,14,SC_NoClash_NoShift_14.wav,DREAM,Y,"Although much money was paid, the foolish dream to run a dog-daycare was never realized.",,,,
D,sc,NoClash.Shift,14,SC_NoClash_Shift_14.wav,DREAM,Y,"Although much money was paid, the foolish dream to run a dog-daycare was never realized.",,,,
C,sc,Clash.NoShift,15,SC_Clash_NoShift_15.wav,GLANCE,Y,"As the thief left the crime scene,  the covert glance behind him up the road assured him he was safe.",,,,
D,sc,Clash.Shift,15,SC_Clash_Shift_15.wav,GLANCE,Y,"As the thief left the crime scene,  the covert glance behind him up the road assured him he was safe.",,,,
B,sc,NoClash.NoShift,15,SC_NoClash_NoShift_15.wav,GLANCE,Y,"As the thief left the crime scene,  the furtive glance behind him up the road assured him he was safe.",,,,
A,sc,NoClash.Shift,15,SC_NoClash_Shift_15.wav,GLANCE,Y,"As the thief left the crime scene,  the furtive glance behind him up the road assured him he was safe.",,,,
D,sc,Clash.NoShift,16,SC_Clash_NoShift_16.wav,STEP,Y,Hikers need to pay attention; an unsure step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,F
A,sc,Clash.Shift,16,SC_Clash_Shift_16.wav,STEP,Y,Hikers need to pay attention; an unsure step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,F
C,sc,NoClash.NoShift,16,SC_NoClash_NoShift_16.wav,STEP,Y,Hikers need to pay attention; a hasty step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,F
B,sc,NoClash.Shift,16,SC_NoClash_Shift_16.wav,STEP,Y,Hikers need to pay attention; a hasty step through such dense underbrush could send you tumbling down.,WHO NEEDS TO PAY ATTENTION?,HIKERS,JOGGERS,F
A,sc,Clash.NoShift,17,SC_Clash_NoShift_17.wav,ROOF,Y,"Across the decades, the convex roof to the old cathedral has been weathered by rain.",,,,
B,sc,Clash.Shift,17,SC_Clash_Shift_17.wav,ROOF,Y,"Across the decades, the convex roof to the old cathedral has been weathered by rain.",,,,
C,sc,NoClash.NoShift,17,SC_NoClash_NoShift_17.wav,ROOF,Y,"Across the decades, the arching roof to the old cathedral has been weathered by rain.",,,,
D,sc,NoClash.Shift,17,SC_NoClash_Shift_17.wav,ROOF,Y,"Across the decades, the arching roof to the old cathedral has been weathered by rain.",,,,
B,sc,Clash.NoShift,18,SC_Clash_NoShift_18.wav,GIRLS,Y,"At the end-of-year dance, the sixteen girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,J
C,sc,Clash.Shift,18,SC_Clash_Shift_18.wav,GIRLS,Y,"At the end-of-year dance, the sixteen girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,J
A,sc,NoClash.NoShift,18,SC_NoClash_NoShift_18.wav,GIRLS,Y,"At the end-of-year dance, the sixty girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,J
D,sc,NoClash.Shift,18,SC_NoClash_Shift_18.wav,GIRLS,Y,"At the end-of-year dance, the sixty girls by the water cooler discussed their summer plans.",WHAT WERE THEY TALKING ABOUT?,THE DANCE,SUMMER PLANS,J
C,sc,Clash.NoShift,19,SC_Clash_NoShift_19.wav,SHIRTS,Y,"At the end of the week,  eighteen shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,F
D,sc,Clash.Shift,19,SC_Clash_Shift_19.wav,SHIRTS,Y,"At the end of the week,  eighteen shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,F
B,sc,NoClash.NoShift,19,SC_NoClash_NoShift_19.wav,SHIRTS,Y,"At the end of the week,  extra shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,F
A,sc,NoClash.Shift,19,SC_NoClash_Shift_19.wav,SHIRTS,Y,"At the end of the week,  extra shirts from the town's spare-clothes-drive were given to the poor.",WHAT ITEMS WERE DONATED?,SHIRTS,SHOES,F
D,sc,Clash.NoShift,20,SC_Clash_NoShift_20.wav,CATS,Y,"Every morning after the cows are milked, the fifteen cats by the dairy farm drink the left-over milk.",,,,
A,sc,Clash.Shift,20,SC_Clash_Shift_20.wav,CATS,Y,"Every morning after the cows are milked, the fifteen cats by the dairy farm drink the left-over milk.",,,,
C,sc,NoClash.NoShift,20,SC_NoClash_NoShift_20.wav,CATS,Y,"Every morning after the cows are milked, the fifty cats by the dairy farm drink the left-over milk.",,,,
B,sc,NoClash.Shift,20,SC_NoClash_Shift_20.wav,CATS,Y,"Every morning after the cows are milked, the fifty cats by the dairy farm drink the left-over milk.",,,,
